Ref,Val,Package,PosX,PosY,Rot,Side
"CIRCLE / B","","","38.9299mm","-2.3404mm",0,"Bottom"
"CROSS / A","","","10.039mm","-13.3365mm",0,"Bottom"
"D","","","-71.1993mm","24.0676mm",0,"Bottom"
"F1","","","27.3216mm","-35.7014mm",0,"Top"
"HOME / PS","","","31.0621mm","51.7565mm",270,"Top"
"L","","","-100.9021mm","24.0676mm",0,"Bottom"
"L1","","","99.8326mm","22.5707mm",0,"Bottom"
"L2","","","96.5576mm","-10.2727mm",0,"Bottom"
"L3","","","42.0425mm","51.7565mm",270,"Top"
"LOCK","","SW_SS12D07VG4","97.7151mm","51.8054mm",0,"Top"
"LS/DP/RS","","SW-TH_SS13D07VG4","67.7767mm","51.8054mm",0,"Top"
"OLED1","","","-39.3714mm","58.3139mm",0,"Top"
"OPTIONS / START","","","9.1013mm","51.7565mm",270,"Top"
"R","","","-43.7953mm","11.4611mm",0,"Bottom"
"R1","","","71.0634mm","30.6315mm",0,"Bottom"
"R2","","","67.7884mm","-2.3404mm",0,"Bottom"
"R3","","","53.0229mm","51.7565mm",270,"Top"
"R3","22Ω","","60.9009mm","-33.2015mm",0,"Top"
"R4","22Ω","","83.8201mm","-31.2014mm",0,"Top"
"SHARE / SELECT","","","20.0817mm","51.7565mm",270,"Top"
"SOCD","","SW-TH_SS13D07VG4","83.6509mm","51.8054mm",0,"Top"
"SQUARE / X","","","15.539mm","16.9143mm",0,"Bottom"
"TRIANGLE / Y","","","41.7049mm","30.6315mm",0,"Bottom"
"U","","","-22.1654mm","-36.7764mm",0,"Bottom"
"U3","","","-9.707mm","34.1207mm",0,"Top"
"USB","","USB-TH_10.0-4C6.3-ZB","113.6861mm","-32.1714mm",90,"Top"
